################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -9.7855491533039651E-01 a       117     0     6     1     7
  1.7588731462683007E+00 a       118     0     6     1     8
 -1.7177449122438730E+00 a       119     0     6     1     9
  1.0424091174024410E+00 a       120     0     6     1    10
  1.4397129492075269E+00 a       121     0     6     1    11
 -1.6119187121121712E+00 a       122     0     6     1    12
 -3.3599305977107330E-01 a       123     0     6     1    13
  5.1422661077466669E-01 a       124     0     6     1    14
  8.4170265804735866E-01 a       125     0     6     1    15
 -8.2222520463270804E-02 a       126     0     6     1    16
 -4.0280632933106897E-01 a       127     0     6     1    17
  1.9406030142092306E-01 a       128     0     6     1    18
 -2.3920188533223982E-01 a       129     0     6     1    19
 -1.6118448714368043E+00 a       130     0     6     1    20
  7.5688240989975009E-01 a       131     0     6     1    21
 -7.2826940816730434E-01 a       132     0     6     1    22
  3.7463183978288450E-01 a       133     0     7     1     1
  3.5770137061432050E-01 a       134     0     7     1     2
 -6.7567806674607211E-01 a       135     0     7     1     3
  3.9585792910170864E-01 a       136     0     7     1     4
 -3.4937677474820500E-01 a       137     0     7     1     5
  8.8489599947343811E-01 a       138     0     7     1     6
  1.9903418176020465E-01 a       139     0     7     1     7
 -1.6135235951709882E-02 a       140     0     7     1     8
  4.2078169340059998E-03 a       141     0     7     1     9
  2.4433426251674203E-01 a       142     0     7     1    10
  2.0794132856572972E-01 a       143     0     7     1    11
 -3.7959198650028786E-01 a       144     0     7     1    12
  1.0126000851535459E+00 a       145     0     7     1    13
  8.6204037724313010E-02 a       146     0     7     1    14
 -3.8483228846143125E-01 a       147     0     7     1    15
 -7.2289016806552531E-01 a       148     0     7     1    16
  3.0417786888389370E-01 a       149     0     7     1    17
 -2.2403104005751423E-01 a       150     0     7     1    18
  1.8656560604486136E-01 a       151     0     7     1    19
 -3.4979103950699919E-01 a       152     0     7     1    20
  9.2937719158993654E-02 a       153     0     7     1    21
  1.8663270917728308E-01 a       154     0     7     1    22
  3.4825083929914025E-01 a       155     0     8     1     1
  8.6347833297006649E-01 a       156     0     8     1     2
  6.3439285340046181E-01 a       157     0     8     1     3
  7.3708736794045937E-01 a       158     0     8     1     4
 -8.3029642148103711E-01 a       159     0     8     1     5
 -6.5857563631769667E-01 a       160     0     8     1     6
  3.1333747912598087E-01 a       161     0     8     1     7
 -5.2138553978026958E-01 a       162     0     8     1     8
  1.3807307958865918E+00 a       163     0     8     1     9
  4.8292497938758455E-01 a       164     0     8     1    10
