################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -4.7589968832298990E-01 a       119     0     6     1     9
 -3.8833833898548870E-01 a       120     0     6     1    10
  1.2277378654466409E-01 a       121     0     6     1    11
  2.4898812563032703E-02 a       122     0     6     1    12
  6.7534935878437785E-01 a       123     0     6     1    13
 -3.4938092629636558E-01 a       124     0     6     1    14
 -5.3947038999346808E-01 a       125     0     6     1    15
 -7.8716457045941102E-02 a       126     0     6     1    16
  2.8638054563431803E-01 a       127     0     6     1    17
  8.1071578679849343E-01 a       128     0     6     1    18
  1.6857552852172103E-01 a       129     0     6     1    19
 -4.6755858769708031E-01 a       130     0     6     1    20
  2.1945798015842752E-01 a       131     0     6     1    21
  5.3829575018192999E-01 a       132     0     6     1    22
  4.5746834530717528E-01 a       133     0     7     1     1
 -4.0552351760745620E-01 a       134     0     7     1     2
  1.5348806866619051E+00 a       135     0     7     1     3
 -9.4899502577229802E-02 a       136     0     7     1     4
 -4.3246751101356795E-01 a       137     0     7     1     5
  7.2803930396929631E-02 a       138     0     7     1     6
 -3.8235123037020852E-01 a       139     0     7     1     7
 -3.2041267954911118E-01 a       140     0     7     1     8
  4.6347424128969561E-01 a       141     0     7     1     9
 -4.3327680852307188E-01 a       142     0     7     1    10
  3.7720936266614036E-01 a       143     0     7     1    11
 -1.0933252608537469E+00 a       144     0     7     1    12
 -7.4800478383265256E-01 a       145     0     7     1    13
  1.0769918862495531E+00 a       146     0     7     1    14
 -5.7210616864342023E-01 a       147     0     7     1    15
 -6.0496139898257540E-03 a       148     0     7     1    16
 -1.5519185932298287E+00 a       149     0     7     1    17
 -1.5384556580373479E-01 a       150     0     7     1    18
 -1.7418663795808867E-01 a       151     0     7     1    19
 -5.9861895732955034E-03 a       152     0     7     1    20
 -7.6187535204971735E-02 a       153     0     7     1    21
 -1.2677349135453999E+00 a       154     0     7     1    22
 -5.1554897646485598E-01 a       155     0     8     1     1
  4.1032105355000092E-01 a       156     0     8     1     2
  8.4001752474398594E-01 a       157     0     8     1     3
  5.2614570247005366E-01 a       158     0     8     1     4
 -8.6580123438307355E-01 a       159     0     8     1     5
 -1.1017459538153480E+00 a       160     0     8     1     6
 -6.7873555639522853E-01 a       161     0     8     1     7
 -5.1790719848547295E-01 a       162     0     8     1     8
  1.4100265177774671E-02 a       163     0     8     1     9
 -8.8827597665918412E-01 a       164     0     8     1    10
 -1.5630830923341035E+00 a       165     0     8     1    11
 -3.7087442040274748E-01 a       166     0     8     1    12
 -6.1499188294752138E-01 a       167     0     8     1    13
  6.9176390422684431E-01 a       168     0     8     1    14
 -1.3653120294231018E+00 a       169     0     8     1    15
 -1.2197940836891696E-01 a       170     0     8     1    16
 -1.5612515612002167E+00 a       171     0     8     1    17
  1.6685641113110330E+00 a       172     0     8     1    18
 -2.9652823599290468E-01 a       173     0     8     1    19
  3.3730073260389715E-01 a       174     0     8     1    20
  5.8618439307908443E-01 a       175     0     8     1    21
  3.5853325911679584E-01 a       176     0     8     1    22
  2.3480280879120867E+00 a       177     0     9     1     1
  6.0620052181294404E-01 a       178     0     9     1     2
 -1.8240355761713845E+00 a       179     0     9     1     3
 -4.8070814144453961E-01 a       180     0     9     1     4
  1.3829457152095679E+00 a       181     0     9     1     5
  6.3844516630660064E-01 a       182     0     9     1     6
 -5.0492392074966408E-01 a       183     0     9     1     7
 -1.0514665584288307E+00 a       184     0     9     1     8
 -8.7723324755042287E-01 a       185     0     9     1     9
 -1.2136522972141426E+00 a       186     0     9     1    10
  2.2200926247900835E-01 a       187     0     9     1    11
 -8.9201927438919304E-01 a       188     0     9     1    12
  6.3544990203859786E-01 a       189     0     9     1    13
  1.4586012560432402E+00 a       190     0     9     1    14
 -1.1061034116518050E-01 a       191     0     9     1    15
 -2.2693406340833677E+00 a       192     0     9     1    16
 -1.3803671295084925E+00 a       193     0     9     1    17
  1.0053303440420707E+00 a       194     0     9     1    18
 -2.4145652817294805E-01 a       195     0     9     1    19
  1.6921218367455110E-01 a       196     0     9     1    20
 -1.1318504437495216E+00 a       197     0     9     1    21
  6.7664110041656722E-01 a       198     0     9     1    22
 -5.2606157443236834E-01 a       199     0    10     1     1
  4.0158470993874967E-01 a       200     0    10     1     2
 -1.3571459403143168E-01 a       201     0    10     1     3
 -5.7451009150657328E-01 a       202     0    10     1     4
  2.8366533018092810E-01 a       203     0    10     1     5
 -3.2439265892940508E-02 a       204     0    10     1     6
 -2.2992420189850279E-01 a       205     0    10     1     7
 -5.6645779687730580E-01 a       206     0    10     1     8
  1.4782514021666307E-01 a       207     0    10     1     9
 -1.6695522997257625E-01 a       208     0    10     1    10
  1.9832732570785754E+00 a       209     0    10     1    11
 -2.4062614080447309E-01 a       210     0    10     1    12
 -4.9883470548635428E-01 a       211     0    10     1    13
  4.0607995647218070E-01 a       212     0    10     1    14
  4.0481226530018188E-01 a       213     0    10     1    15
  1.2075410899608505E+00 a       214     0    10     1    16
 -1.3561438029809938E+00 a       215     0    10     1    17
 -1.8177095419635733E-01 a       216     0    10     1    18
 -5.2226443316631321E-01 a       217     0    10     1    19
 -3.4824103719660798E-01 a       218     0    10     1    20
 -1.8367386489914928E+00 a       219     0    10     1    21
  5.8321253386001504E-01 a       220     0    10     1    22
 -1.5867135967898452E-01 a       221     0    11     1     1
  3.6030090215269500E-01 a       222     0    11     1     2
  6.1023650326902912E-01 a       223     0    11     1     3
 -4.0586577871018914E-01 a       224     0    11     1     4
 -1.2122187839784368E-01 a       225     0    11     1     5
  2.3352252052693551E-01 a       226     0    11     1     6
  3.8017749223729802E-01 a       227     0    11     1     7
 -3.3008538921363989E-01 a       228     0    11     1     8
 -1.0429753408743400E-01 a       229     0    11     1     9
 -6.1152977364398309E-01 a       230     0    11     1    10
  7.2101313704106018E-01 a       231     0    11     1    11
 -1.4502220951522797E+00 a       232     0    11     1    12
 -9.0176599316625095E-01 a       233     0    11     1    13
 -1.2586279592424027E-01 a       234     0    11     1    14
 -1.8539092641701560E-01 a       235     0    11     1    15
  2.7656908143655268E-01 a       236     0    11     1    16
 -5.6899144662146461E-01 a       237     0    11     1    17
  5.2363722977881721E-01 a       238     0    11     1    18
 -1.4988153182371802E-01 a       239     0    11     1    19
 -4.7309157012626064E-02 a       240     0    11     1    20
 -9.2023273757372714E-01 a       241     0    11     1    21
  1.8314208910715501E-01 a       242     0    11     1    22
  1.3910945959447180E-01 a       243     0    12     1     1
  3.6056077803625181E-01 a       244     0    12     1     2
  1.2075538403767372E+00 a       245     0    12     1     3
 -5.6618502467046861E-01 a       246     0    12     1     4
 -3.3266801762509807E-01 a       247     0    12     1     5
 -1.0055900647220821E+00 a       248     0    12     1     6
  7.0408638317338168E-01 a       249     0    12     1     7
 -6.4568721795619871E-02 a       250     0    12     1     8
  4.3311638068084812E-01 a       251     0    12     1     9
 -1.9984463749299236E-01 a       252     0    12     1    10
  3.4528265721826873E-01 a       253     0    12     1    11
 -1.1462144583268516E+00 a       254     0    12     1    12
  2.7608446144572235E-01 a       255     0    12     1    13
 -3.2288188406450608E-01 a       256     0    12     1    14
 -1.6861048120435673E-01 a       257     0    12     1    15
  1.0380200259584111E+00 a       258     0    12     1    16
  2.5620700250956657E-01 a       259     0    12     1    17
  9.7978111769017673E-01 a       260     0    12     1    18
 -1.8768530820966778E-01 a       261     0    12     1    19
  7.7378647765518371E-01 a       262     0    12     1    20
  6.4125825520739776E-01 a       263     0    12     1    21
 -6.8861521509253576E-01 a       264     0    12     1    22
  1.8620215382146005E-01 a       265     0    13     1     1
  9.9813984490329277E-01 a       266     0    13     1     2
  9.1873254755853295E-01 a       267     0    13     1     3
  1.8290785203684320E-01 a       268     0    13     1     4
 -1.3426761537846460E-01 a       269     0    13     1     5
  5.9024920545886728E-01 a       270     0    13     1     6
  6.0552722122602121E-01 a       271     0    13     1     7
  6.9115718274099361E-02 a       272     0    13     1     8
 -2.4613130442614375E-01 a       273     0    13     1     9
 -1.5053488247063077E-01 a       274     0    13     1    10
 -2.2188357911679396E-01 a       275     0    13     1    11
  5.6007340724540466E-01 a       276     0    13     1    12
  3.6321697080851312E-01 a       277     0    13     1    13
  3.0305564891098791E-01 a       278     0    13     1    14
  6.1706611078814544E-01 a       279     0    13     1    15
  2.5170669679831691E-02 a       280     0    13     1    16
 -8.0686463563397937E-01 a       281     0    13     1    17
  1.3565511544781075E-01 a       282     0    13     1    18
 -7.5705125071241086E-01 a       283     0    13     1    19
 -4.2485382984746756E-01 a       284     0    13     1    20
 -1.2395287083654750E-01 a       285     0    13     1    21
 -1.0073342106745711E+00 a       286     0    13     1    22
 -4.5602145891540929E-01 a       287     0    14     1     1
 -6.8076343829162622E-01 a       288     0    14     1     2
  9.8624931877777644E-01 a       289     0    14     1     3
  2.9579177102370413E-01 a       290     0    14     1     4
 -1.1046809720647419E+00 a       291     0    14     1     5
 -9.0621775330898768E-01 a       292     0    14     1     6
  1.1064544199628412E+00 a       293     0    14     1     7
 -1.3769875089303845E+00 a       294     0    14     1     8
 -1.9821001668013601E-02 a       295     0    14     1     9
 -4.5524071212317246E-01 a       296     0    14     1    10
 -1.5779314434644542E-01 a       297     0    14     1    11
  8.6776437153119834E-01 a       298     0    14     1    12
 -6.6669379212245672E-01 a       299     0    14     1    13
  1.0980545446431487E+00 a       300     0    14     1    14
 -2.6882883898567111E-01 a       301     0    14     1    15
  2.4131846747870414E-01 a       302     0    14     1    16
 -1.1983994381073337E+00 a       303     0    14     1    17
 -1.8510781107074277E-02 a       304     0    14     1    18
 -8.8357338652086426E-01 a       305     0    14     1    19
 -2.3826770196039104E-01 a       306     0    14     1    20
 -4.5667542446439963E-01 a       307     0    14     1    21
  6.0416640958557499E-01 a       308     0    14     1    22
 -9.7237114437090288E-01 a       309     0    15     1     1
 -3.3819786014610498E-01 a       310     0    15     1     2
  9.1949403719789968E-01 a       311     0    15     1     3
 -9.0060782088308433E-01 a       312     0    15     1     4
 -1.5837210074529061E-02 a       313     0    15     1     5
 -3.2333440752590736E-01 a       314     0    15     1     6
  7.5683465131307981E-01 a       315     0    15     1     7
 -7.5309393114136125E-01 a       316     0    15     1     8
 -3.6448111533520461E-01 a       317     0    15     1     9
 -2.1970198019291384E-01 a       318     0    15     1    10
 -7.6854552998266374E-03 a       319     0    15     1    11
  5.4161761916319484E-01 a       320     0    15     1    12
 -2.2246938172024866E-01 a       321     0    15     1    13
  4.7046482402171791E-01 a       322     0    15     1    14
  9.9444931322965030E-02 a       323     0    15     1    15
 -2.3596139992881909E-01 a       324     0    15     1    16
 -2.4752639734335838E-01 a       325     0    15     1    17
 -5.8496603301029670E-01 a       326     0    15     1    18
  1.2513370593405466E+00 a       327     0    15     1    19
  1.1180560735428102E+00 a       328     0    15     1    20
  1.0120852870540211E+00 a       329     0    15     1    21
  5.7516034130318888E-02 a       330     0    15     1    22
 -4.6695120188041561E-01 a       331     0    16     1     1
 -2.8633734564710993E+00 a       332     0    16     1     2
  3.5912543347100372E+00 a       333     0    16     1     3
  3.3429678403036545E+00 a       334     0    16     1     4
  2.3991947184373430E+00 a       335     0    16     1     5
  4.7699118209812079E+00 a       336     0    16     1     6
  2.1833099761727182E-01 a       337     0    16     1     7
 -8.1750396916787771E-01 a       338     0    16     1     8
 -1.1907030702775026E+00 a       339     0    16     1     9
 -2.8120127360910847E+00 a       340     0    16     1    10
 -1.4723440731379867E-02 a       341     0    16     1    11
 -4.0517399867300402E-01 a       342     0    16     1    12
 -4.8392795369844048E+00 a       343     0    16     1    13
  6.6056916046328928E-01 a       344     0    16     1    14
  1.6870727827256243E-01 a       345     0    16     1    15
 -2.8164595504550227E-01 a       346     0    16     1    16
 -7.1466014741178419E-01 a       347     0    16     1    17
 -1.8496593842737888E-01 a       348     0    16     1    18
 -8.6179034870086579E-01 a       349     0    16     1    19
  1.3689752478163125E-01 a       350     0    16     1    20
  9.4537497871001386E-01 a       351     0    16     1    21
 -4.4862805237475376E+00 a       352     0    16     1    22
 -1.4781527892491118E+00 a       353     0    17     1     1
 -7.7507465689653976E-01 a       354     0    17     1     2
 -8.1726046148558462E-01 a       355     0    17     1     3
 -1.9356282497479178E+00 a       356     0    17     1     4
 -5.8302051285422674E-01 a       357     0    17     1     5
 -2.0149065451563910E+00 a       358     0    17     1     6
  2.0523848643129865E+00 a       359     0    17     1     7
  2.6813828604691514E-01 a       360     0    17     1     8
 -3.6207135280567709E-01 a       361     0    17     1     9
 -3.8005145849433825E-01 a       362     0    17     1    10
  2.5061388190966229E+00 a       363     0    17     1    11
  4.2010444650048062E-01 a       364     0    17     1    12
 -9.3710486884653998E-01 a       365     0    17     1    13
 -7.2019430117452576E-01 a       366     0    17     1    14
 -5.4611108207703374E-01 a       367     0    17     1    15
  3.4116134889103089E-02 a       368     0    17     1    16
  4.7507176247824129E-01 a       369     0    17     1    17
 -1.1180614125152977E+00 a       370     0    17     1    18
  5.2841148616344458E-01 a       371     0    17     1    19
 -8.4823104686290540E-01 a       372     0    17     1    20
 -3.6932590390247821E-01 a       373     0    17     1    21
 -4.8527978488182044E-01 a       374     0    17     1    22
  4.1070360164814990E-01 a       375     0    18     1     1
  1.7630891196730833E-01 a       376     0    18     1     2
  4.2337515602341613E-01 a       377     0    18     1     3
  3.4890564372141331E-01 a       378     0    18     1     4
 -4.3181287298832199E-01 a       379     0    18     1     5
  6.4468820574924241E-03 a       380     0    18     1     6
 -1.2026668850570553E-01 a       381     0    18     1     7
 -4.1019029243410948E-01 a       382     0    18     1     8
  3.6159075705175053E-01 a       383     0    18     1     9
  1.8621598527022626E-01 a       384     0    18     1    10
  1.3327888255704426E-01 a       385     0    18     1    11
 -1.3696955135991491E+00 a       386     0    18     1    12
  1.1001259211993421E-01 a       387     0    18     1    13
 -1.1985216803798236E-01 a       388     0    18     1    14
  2.4704041765220475E-01 a       389     0    18     1    15
 -2.5448900999855972E-02 a       390     0    18     1    16
  2.1096146279273928E-01 a       391     0    18     1    17
  7.2200816500713771E-01 a       392     0    18     1    18
  4.6226380508633069E-01 a       393     0    18     1    19
  4.3051848501062706E-01 a       394     0    18     1    20
  8.1645668932256965E-01 a       395     0    18     1    21
 -8.0086339687250951E-01 a       396     0    18     1    22
 -2.5856171271186024E+00 a       397     0    19     1     1
  1.8962478114991763E+00 a       398     0    19     1     2
  7.8269708866012699E-01 a       399     0    19     1     3
  2.0806769977718140E+00 a       400     0    19     1     4
  9.4966714911831951E-01 a       401     0    19     1     5
  7.4539362083008254E-01 a       402     0    19     1     6
  1.2478821458893523E+00 a       403     0    19     1     7
 -1.7635746603116871E+00 a       404     0    19     1     8
  1.6115602171129271E+00 a       405     0    19     1     9
  2.4839423530746925E+00 a       406     0    19     1    10
 -1.2464290698475728E+00 a       407     0    19     1    11
 -4.2910236614509840E-03 a       408     0    19     1    12
 -1.0222215768653237E-01 a       409     0    19     1    13
 -2.0830761904204840E+00 a       410     0    19     1    14
  8.6938568378947856E-01 a       411     0    19     1    15
  1.8540619319994764E+00 a       412     0    19     1    16
 -1.5625203506486385E+00 a       413     0    19     1    17
 -3.2437440969929519E+00 a       414     0    19     1    18
 -9.6584890801059764E-01 a       415     0    19     1    19
 -8.7024036430240870E-01 a       416     0    19     1    20
  1.2545575810602272E+00 a       417     0    19     1    21
  1.7512969147190736E+00 a       418     0    19     1    22
  3.0028385773629218E-01 a       419     0    20     1     1
  5.2251230680013427E-01 a       420     0    20     1     2
  2.1288291477929955E-01 a       421     0    20     1     3
 -1.0965010401165163E+00 a       422     0    20     1     4
  3.2531052049071124E-01 a       423     0    20     1     5
 -4.0450432327018426E-01 a       424     0    20     1     6
 -3.4738932367171843E-01 a       425     0    20     1     7
 -2.1379251368697000E-01 a       426     0    20     1     8
 -5.6438759982265752E-01 a       427     0    20     1     9
 -2.7226018931436352E-01 a       428     0    20     1    10
 -3.4490883616209328E-01 a       429     0    20     1    11
  6.1883536260606187E-01 a       430     0    20     1    12
 -2.4949715423793939E-01 a       431     0    20     1    13
  1.7229701454393609E-01 a       432     0    20     1    14
  9.3416987305522114E-01 a       433     0    20     1    15
 -7.4609930892609089E-01 a       434     0    20     1    16
 -1.8760532791864433E+00 a       435     0    20     1    17
 -3.0503493931518594E-01 a       436     0    20     1    18
 -5.1042005365558885E-01 a       437     0    20     1    19
 -7.3790985379341789E-01 a       438     0    20     1    20
 -4.3919182715950672E-01 a       439     0    20     1    21
 -2.4468285866828912E-01 a       440     0    20     1    22
 -1.3900908005445873E+00 a       441     0    21     1     1
 -2.5712054250183454E+00 a       442     0    21     1     2
  4.7968864537230471E-01 a       443     0    21     1     3
  3.4317630397418557E+00 a       444     0    21     1     4
 -7.2614627320599867E-01 a       445     0    21     1     5
  1.1325975353088134E+00 a       446     0    21     1     6
 -5.8638414843558162E-01 a       447     0    21     1     7
 -8.2371832359592145E-01 a       448     0    21     1     8
  4.3616601621169593E-01 a       449     0    21     1     9
 -4.0620256739569633E+00 a       450     0    21     1    10
  2.1204529974808426E+00 a       451     0    21     1    11
  1.7683813151340427E-01 a       452     0    21     1    12
 -1.0433106288004561E+00 a       453     0    21     1    13
  1.3384812915998183E+00 a       454     0    21     1    14
  1.4959134983180524E+00 a       455     0    21     1    15
 -6.0164168817932262E-01 a       456     0    21     1    16
 -1.3213541150907565E-01 a       457     0    21     1    17
 -2.0705780442745900E+00 a       458     0    21     1    18
 -7.3932675753086111E-02 a       459     0    21     1    19
  1.0625232826676965E+00 a       460     0    21     1    20
  1.1189980546415192E+00 a       461     0    21     1    21
 -2.8099562467181244E-01 a       462     0    21     1    22
  1.0924304052843963E+00 a       463     0    22     1     1
  2.0797669570364588E-01 a       464     0    22     1     2
  1.0013834344551762E+00 a       465     0    22     1     3
 -2.2525928169432916E+00 a       466     0    22     1     4
  1.9425691695551233E+00 a       467     0    22     1     5
 -5.1156822275729952E-01 a       468     0    22     1     6
  1.1900467723518005E+00 a       469     0    22     1     7
 -1.1925738017223111E+00 a       470     0    22     1     8
  1.2842967529213350E-01 a       471     0    22     1     9
 -8.5943718552004189E-01 a       472     0    22     1    10
 -1.4500045512137358E-01 a       473     0    22     1    11
 -5.1937539629384522E-01 a       474     0    22     1    12
 -6.5713796201921060E-01 a       475     0    22     1    13
 -8.4769203796598513E-01 a       476     0    22     1    14
  7.4370909345847569E-01 a       477     0    22     1    15
 -6.5028559763722427E-01 a       478     0    22     1    16
 -3.9426853670905870E-01 a       479     0    22     1    17
  7.5150384423635835E-02 a       480     0    22     1    18
 -1.3037051224388821E-01 a       481     0    22     1    19
 -6.1506769257415062E-01 a       482     0    22     1    20
 -9.8544752081922338E-01 a       483     0    22     1    21
  3.3316172828736507E-01 a       484     0    22     1    22
 -1.4874670285978615E+00 a       485     0    23     1     1
  1.3216035257903274E+00 a       486     0    23     1     2
  4.0580072779629339E-01 a       487     0    23     1     3
 -1.2848472841080272E+00 a       488     0    23     1     4
  1.8151617521338428E+00 a       489     0    23     1     5
  4.4092238293665553E-01 a       490     0    23     1     6
 -1.6405976250526730E+00 a       491     0    23     1     7
  3.5296871894617277E-01 a       492     0    23     1     8
 -8.3248357961821107E-01 a       493     0    23     1     9
  2.1003206524343980E+00 a       494     0    23     1    10
 -4.7570285578528598E-01 a       495     0    23     1    11
 -1.8366829829771306E-01 a       496     0    23     1    12
 -1.0804204964727437E+00 a       497     0    23     1    13
  1.4564892137032905E+00 a       498     0    23     1    14
 -2.8269976534402077E+00 a       499     0    23     1    15
  1.1120794743379931E+00 a       500     0    23     1    16
  1.9705523096811536E-01 a       501     0    23     1    17
 -1.3684162583340671E+00 a       502     0    23     1    18
  1.0216533252440292E+00 a       503     0    23     1    19
  8.0506700163506884E-01 a       504     0    23     1    20
 -1.0492022675167115E-01 a       505     0    23     1    21
  1.2435493603467367E-01 a       506     0    23     1    22
  3.9573789009749472E-01 a       507     0    24     1     1
 -4.8167810141322692E-01 a       508     0    24     1     2
  2.6038393466700505E-01 a       509     0    24     1     3
 -1.1852209795825663E-02 a       510     0    24     1     4
 -5.5300647262736102E-01 a       511     0    24     1     5
 -6.6251256849524176E-01 a       512     0    24     1     6
  3.0669969448451201E-01 a       513     0    24     1     7
  2.8631845657614319E-01 a       514     0    24     1     8
  4.4055466981686159E-01 a       515     0    24     1     9
  1.2252313197368418E-01 a       516     0    24     1    10
 -6.9464677723291313E-01 a       517     0    24     1    11
 -8.0395462282072827E-01 a       518     0    24     1    12
 -4.2124283353058189E-01 a       519     0    24     1    13
 -3.6944745975683473E-02 a       520     0    24     1    14
  8.9793770828873409E-01 a       521     0    24     1    15
  7.4700381696738116E-01 a       522     0    24     1    16
 -4.1385450974060711E-01 a       523     0    24     1    17
 -3.9888842545438709E-02 a       524     0    24     1    18
 -1.5435946043364437E+00 a       525     0    24     1    19
 -4.7518664280737344E-01 a       526     0    24     1    20
  3.0386218304307822E-01 a       527     0    24     1    21
 -5.0530588560690604E-01 a       528     0    24     1    22
 -4.6657621607967958E-01 a       529     0    25     1     1
