################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -4.3605438506421207E-02 a         1     0     1     1     1
  1.6553729710635816E+00 a         2     0     1     1     2
  1.2569049700311099E+00 a         3     0     1     1     3
 -1.6820324852078947E+00 a         4     0     1     1     4
 -3.0735229338906811E-01 a         5     0     1     1     5
  5.8814125008489970E-01 a         6     0     1     1     6
 -6.8103329971731286E-01 a         7     0     1     1     7
 -1.0576137047548342E+00 a         8     0     1     1     8
  3.2167824402333345E-01 a         9     0     1     1     9
 -7.9601965215354242E-01 a        10     0     1     1    10
  5.3780840632653371E-01 a        11     0     1     1    11
  2.4914540238722802E-01 a        12     0     1     1    12
 -6.9686311606136628E-02 a        13     0     1     1    13
  2.7017651497361317E-01 a        14     0     1     1    14
  1.2563212260037342E+00 a        15     0     1     1    15
  1.1223142476828454E+00 a        16     0     1     1    16
 -1.8370180515369396E+00 a        17     0     1     1    17
  3.5871876025976780E-02 a        18     0     1     1    18
 -1.1343222268999507E+00 a        19     0     1     1    19
 -1.1854618408271180E+00 a        20     0     1     1    20
 -5.4998806339236839E-01 a        21     0     1     1    21
 -1.1738064501128009E-01 a        22     0     1     1    22
 -8.5615107780148658E-01 a        23     0     2     1     1
  1.4064695822365074E+00 a        24     0     2     1     2
 -1.5827592021459580E-01 a        25     0     2     1     3
 -3.3897277239717277E-01 a        26     0     2     1     4
 -7.6992473450304100E-01 a        27     0     2     1     5
 -1.2017212303674993E-01 a        28     0     2     1     6
 -6.5169451274962820E-01 a        29     0     2     1     7
  6.4217518998939105E-01 a        30     0     2     1     8
 -7.0645745375535118E-01 a        31     0     2     1     9
 -2.0048658449105267E-01 a        32     0     2     1    10
  1.0952406524698477E+00 a        33     0     2     1    11
 -1.0079994287625629E+00 a        34     0     2     1    12
 -8.4147298336252763E-01 a        35     0     2     1    13
  2.7503784817724469E-01 a        36     0     2     1    14
 -8.5240654099622648E-01 a        37     0     2     1    15
  1.1859291375949372E+00 a        38     0     2     1    16
 -8.3830437542102965E-01 a        39     0     2     1    17
  3.7746963573476128E-01 a        40     0     2     1    18
  7.0407135865231929E-01 a        41     0     2     1    19
  1.4000314894316852E+00 a        42     0     2     1    20
  2.3747797246634139E-01 a        43     0     2     1    21
 -2.3461394489820078E-01 a        44     0     2     1    22
  9.0472759207734577E-01 a        45     0     3     1     1
  6.7944071785726068E-01 a        46     0     3     1     2
 -4.8485786491046712E-01 a        47     0     3     1     3
 -2.0107005450595190E-02 a        48     0     3     1     4
  1.5091957264756812E+00 a        49     0     3     1     5
  1.0835991895341055E+00 a        50     0     3     1     6
 -2.2659748693730986E-01 a        51     0     3     1     7
  1.0619947451182297E+00 a        52     0     3     1     8
  5.5330368884048875E-01 a        53     0     3     1     9
 -1.8412765636899106E-01 a        54     0     3     1    10
 -7.7876685312015237E-01 a        55     0     3     1    11
  3.7884612225963571E-01 a        56     0     3     1    12
 -4.1398607978911672E-01 a        57     0     3     1    13
  1.7256272838063218E+00 a        58     0     3     1    14
  8.2228636498611063E-01 a        59     0     3     1    15
 -1.4484377861856732E+00 a        60     0     3     1    16
 -3.5701902422232318E-01 a        61     0     3     1    17
  1.2171114842182382E+00 a        62     0     3     1    18
  8.9279617992279992E-01 a        63     0     3     1    19
 -1.2642504362571425E+00 a        64     0     3     1    20
  1.4777913356256706E-01 a        65     0     3     1    21
  9.8559707567526911E-01 a        66     0     3     1    22
 -7.0577197739233252E-02 a        67     0     4     1     1
  1.1951752706528727E+00 a        68     0     4     1     2
  1.8663535084494740E+00 a        69     0     4     1     3
 -8.9809008584514427E-01 a        70     0     4     1     4
 -1.1978473235414755E+00 a        71     0     4     1     5
  5.5782199177961393E-02 a        72     0     4     1     6
  2.3754311962808658E-01 a        73     0     4     1     7
 -6.8671300137015190E-01 a        74     0     4     1     8
  1.1425603687494519E+00 a        75     0     4     1     9
 -9.6380302725207312E-01 a        76     0     4     1    10
  2.2731733959326478E-01 a        77     0     4     1    11
 -8.0148085539120795E-01 a        78     0     4     1    12
  2.8545082290559404E-01 a        79     0     4     1    13
  9.9413523478608157E-01 a        80     0     4     1    14
 -6.3768771903686006E-01 a        81     0     4     1    15
  1.0933320614623403E+00 a        82     0     4     1    16
 -1.8465719411298507E+00 a        83     0     4     1    17
 -1.4597559331711294E+00 a        84     0     4     1    18
  1.4297052533334376E-01 a        85     0     4     1    19
  8.6569404822607124E-03 a        86     0     4     1    20
 -1.1456984133803632E+00 a        87     0     4     1    21
 -6.6342327424928182E-02 a        88     0     4     1    22
  3.1452512582075620E-01 a        89     0     5     1     1
 -1.7211649555288694E-01 a        90     0     5     1     2
  1.6045613311034499E+00 a        91     0     5     1     3
  9.2030767329660879E-01 a        92     0     5     1     4
 -9.2513933116342928E-01 a        93     0     5     1     5
 -1.5460510390829558E+00 a        94     0     5     1     6
  6.9451763964538948E-01 a        95     0     5     1     7
 -1.0967127676930590E+00 a        96     0     5     1     8
  1.1443697035603686E+00 a        97     0     5     1     9
  1.2530464908447606E-01 a        98     0     5     1    10
 -7.5544739807558947E-01 a        99     0     5     1    11
 -1.1853616986090256E+00 a       100     0     5     1    12
 -8.7025467845482829E-01 a       101     0     5     1    13
  2.4801215224745324E-01 a       102     0     5     1    14
 -4.3460247220676690E-01 a       103     0     5     1    15
 -2.8391954658990887E-01 a       104     0     5     1    16
 -4.4955205411039700E-01 a       105     0     5     1    17
  1.5798773523367815E+00 a       106     0     5     1    18
 -7.6403535419457091E-01 a       107     0     5     1    19
  1.0069641644092511E+00 a       108     0     5     1    20
 -1.3819661589348111E+00 a       109     0     5     1    21
  1.1266001514715705E-01 a       110     0     5     1    22
 -6.4952822072630734E-01 a       111     0     6     1     1
 -3.0628234846231178E-01 a       112     0     6     1     2
 -1.6582785885637168E+00 a       113     0     6     1     3
 -2.3612436651619045E-01 a       114     0     6     1     4
 -4.3799046481601284E-01 a       115     0     6     1     5
  6.0974516234607201E-01 a       116     0     6     1     6
  4.9879874504377203E-01 a       117     0     6     1     7
  1.0838526758529066E+00 a       118     0     6     1     8
