################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         71   2.6342771549871731E-05   1.3586315714530324E-02   3.8105071253153769E-03   2.0219502306923847E-03
         1         72   3.7608279533616701E-04   6.8754567286122038E-03   2.0907973865582283E-03   8.5347954856637665E-04
         1         73   0.0000000000000000E+00   8.8839452010563095E-03   1.0151622419780080E-03   1.1401099745915447E-03
         1         74   1.2597580574763120E-04   4.9600672498559706E-02   1.9596219587387689E-02   1.0364925788691890E-02
         1         75   0.0000000000000000E+00   2.4122942354489526E-03   5.0428874833183040E-04   4.8259265659877834E-04
         1         76   4.9660225170307598E-03   3.0226189069005659E-02   1.4057752476371539E-02   5.0340643216763006E-03
         1         77   0.0000000000000000E+00   6.8024621842551090E-03   2.3787445571867702E-03   1.8814738794578610E-03
         1         78   0.0000000000000000E+00   3.8444129341581000E-03   5.1105959706997290E-04   5.5847858252449398E-04
         1         79   8.6993888467722867E-05   3.2316394693635328E-02   1.3116179895463988E-02   7.1208205341957466E-03
         1         80   0.0000000000000000E+00   4.1264004300883752E-03   1.4130668519698362E-03   1.1334081428746739E-03
         1         81   1.0285866159738055E-08   4.8544605691692036E-03   8.8175429503880394E-05   2.3519524148200589E-04
         1         82   0.0000000000000000E+00   1.9682782024870353E-03   2.6390229249331244E-04   2.8151141841407793E-04
         1         83   6.5635139886757550E-05   2.1699208881747995E-02   8.6516957421169157E-03   4.7138354797535724E-03
         1         84   1.7235288565798073E-03   1.5352737332750381E-02   6.2917909254127102E-03   2.6104553144409644E-03
         1         85   5.7262830814124971E-05   3.6353531107353683E-02   1.4711516264769631E-02   8.1172998793852032E-03
         1         86   0.0000000000000000E+00   3.4388193381332311E-03   2.9261659321897160E-04   3.6045375744006027E-04
         1         87   2.3855029540512484E-03   1.4509871605034887E-02   6.9422004339034869E-03   2.6259721259192102E-03
         1         88   1.0753079823008155E-05   1.1626613070240519E-02   4.6800796972561072E-03   2.7754540358686051E-03
         1         89   2.4913253865058474E-06   1.3470183730016632E-02   5.4841326024169020E-03   3.4767118291561231E-03
         1         90   1.4556467043654825E-07   1.9158291323606930E-01   2.6352329422833404E-02   2.6609231031506687E-02
         1         91   2.3835925543422105E-03   4.5457801138790127E-01   8.2586460571515419E-02   7.0608645095102548E-02
         1         92   0.0000000000000000E+00   5.2972834248724412E-02   8.9161653519037251E-03   7.6562590198408376E-03
         1         93   3.1061499932204212E-03   3.3458811136360433E-01   3.7881760766662713E-02   4.0623729341105440E-02
         1         94   0.0000000000000000E+00   9.6750479915481719E-02   1.0721743757302818E-02   7.7536742675308225E-03
         1         95   0.0000000000000000E+00   7.9092392306782007E-03   1.1056922970952693E-04   4.9833227138599504E-04
         1         96   3.8107186380556859E-06   1.3478409856783968E-01   2.1011450409292552E-02   2.0048351113034383E-02
         1         97   4.4937588457849400E-03   4.0570907683297447E-01   1.4689123721940558E-01   7.1749445189380229E-02
         1         98   0.0000000000000000E+00   4.6296553477536695E-02   1.0961858297908477E-02   9.3806598080582067E-03
         1         99   3.3484469243646391E-02   2.8256703523302712E-01   1.0351210661690570E-01   3.9363372670062680E-02
         1        100   0.0000000000000000E+00   7.4037779109847893E-02   2.5357406834469767E-02   1.7287316480630019E-02
         1        101   5.9490858939553816E-05   2.3640610344871726E-01   2.2133530454084827E-02   3.4503397124279307E-02
         1        102   1.7658896690000098E-17   6.6171203443048901E-02   6.0567194335322530E-03   8.9113346586945138E-03
         1        103   6.8249232768218280E-07   1.6373432104786675E-01   1.0564562633058191E-02   2.1429654965976919E-02
         1        104   0.0000000000000000E+00   2.6883213506367180E-02   1.2528609627143045E-03   2.4776533102748811E-03
         1        105   5.8148960870721715E-10   1.4528963619385085E-01   3.9828562020665032E-03   1.1295234865236974E-02
         1        106   0.0000000000000000E+00   3.3073740816853409E-02   6.2622589623249404E-04   1.5072149285872529E-03
         1        107   1.4953614143050973E-03   1.1932270066977273E+00   2.6097628432164077E-01   2.3115326098295005E-01
         1        108   6.6033073703544221E-02   3.3877488713312847E+00   7.0093914941243207E-01   6.4065500366850359E-01
         1        109   2.0955296451465518E-07   4.0941652106965448E-01   9.8347276397129590E-02   6.2108748419755229E-02
         1        110   2.8557604319806810E-02   2.5996682943798328E+00   3.7340081571490713E-01   4.3084640786232553E-01
         1        111   1.9580683174464437E-07   6.7943403172583428E-01   1.2630392465503698E-01   8.8176864509915714E-02
         1        112   0.0000000000000000E+00   5.4350852858719850E-02   4.5179635095274626E-03   6.8660961201861452E-03
         1        113   2.2041293276962307E-02   1.0154525988981831E+00   2.9287292847560570E-01   1.9287691267936305E-01
         1        114   2.5063633466490565E-01   3.3534325498726107E+00   1.1543640335296006E+00   5.4541961961392060E-01
         1        115   6.4354495606039925E-07   3.7724319152944252E-01   1.3174133157542711E-01   6.3051034452694762E-02
         1        116   2.7621755053358510E-01   2.3730005802767433E+00   8.0522903785239064E-01   3.5371581475883634E-01
         1        117   1.8899658751298642E-06   6.4383820851717122E-01   2.1280460010577865E-01   8.6452092780882159E-02
         1        118   1.3849282148042849E-01   1.2792919321485761E+00   5.5288288891289528E-01   2.1285564728928363E-01
         1        119   3.7518456545328787E-07   1.4332201947765738E-01   5.1401836489115761E-02   2.2828770057036835E-02
         1        120   1.3890086752104673E-10   3.6874458904596202E-01   5.0193806891907319E-02   6.6376139280689458E-02
         1        121   2.9575958199027573E-05   8.9939424438642956E-01   9.2834034685896641E-02   1.6904851241002405E-01
