################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.4110030353339696E-01 a         1     0     1     1     1
  5.1595372505990678E-01 a         2     0     1     1     2
  2.6927270217691732E-02 a         3     0     1     1     3
 -7.9454191180279979E-02 a         4     0     1     1     4
  4.9233080639775889E-01 a         5     0     1     1     5
 -1.6038158465323304E-01 a         6     0     1     1     6
 -6.0969924428279598E-01 a         7     0     1     1     7
  9.3369509083063162E-01 a         8     0     1     1     8
 -1.3893146724918304E+00 a         9     0     1     1     9
 -2.0024419180081129E-01 a        10     0     1     1    10
  4.3649885353611895E-01 a        11     0     1     1    11
 -1.0232491185630919E-01 a        12     0     1     1    12
 -1.3849376785864951E+00 a        13     0     1     1    13
  4.3974748372206224E-01 a        14     0     1     1    14
  3.1773745513358104E-01 a        15     0     1     1    15
  4.3645141171538848E-01 a        16     0     1     1    16
 -9.9443439072697393E-01 a        17     0     1     1    17
 -3.0465459301765507E-01 a        18     0     1     1    18
  3.4737119409910477E-01 a        19     0     1     1    19
  1.3959750343815205E-01 a        20     0     1     1    20
 -7.0317922634855667E-01 a        21     0     1     1    21
  1.3977115951479374E-01 a        22     0     1     1    22
  1.2851406709698114E+00 a        23     0     2     1     1
  7.0625295054483639E-01 a        24     0     2     1     2
 -7.9144786778000339E-02 a        25     0     2     1     3
 -6.1434518314997999E-01 a        26     0     2     1     4
 -8.1104423674246903E-02 a        27     0     2     1     5
  6.0961448436882282E-01 a        28     0     2     1     6
  3.4757842179522919E-01 a        29     0     2     1     7
  1.0688528735252365E+00 a        30     0     2     1     8
 -1.7354556305603679E+00 a        31     0     2     1     9
  2.6330825256233986E-01 a        32     0     2     1    10
 -4.5808905008692447E-01 a        33     0     2     1    11
  1.0755054143882903E+00 a        34     0     2     1    12
 -1.5304544938253046E+00 a        35     0     2     1    13
 -1.1771151857777147E+00 a        36     0     2     1    14
 -1.0235637693957809E-01 a        37     0     2     1    15
  1.7769103997161801E+00 a        38     0     2     1    16
  1.0718671424070141E+00 a        39     0     2     1    17
  1.2653764482692167E+00 a        40     0     2     1    18
  5.2000323743529653E-01 a        41     0     2     1    19
 -5.5821174350420355E-01 a        42     0     2     1    20
 -3.3938144062487124E-01 a        43     0     2     1    21
 -4.8870134911351552E-02 a        44     0     2     1    22
  6.7030911350643618E-01 a        45     0     3     1     1
 -8.3671977895780780E-01 a        46     0     3     1     2
 -9.9343219879909447E-02 a        47     0     3     1     3
 -7.7555024396525230E-01 a        48     0     3     1     4
 -7.5826961518515823E-01 a        49     0     3     1     5
 -7.9690115292681785E-01 a        50     0     3     1     6
 -2.4817913215222051E-01 a        51     0     3     1     7
 -6.4233445998929195E-01 a        52     0     3     1     8
  8.3409826411991128E-01 a        53     0     3     1     9
  2.0529268816706236E-01 a        54     0     3     1    10
  2.9141528026266034E-01 a        55     0     3     1    11
 -2.8080688238775953E-01 a        56     0     3     1    12
  1.3594441452502077E+00 a        57     0     3     1    13
 -9.6827669348885437E-01 a        58     0     3     1    14
 -2.1329059378741089E-01 a        59     0     3     1    15
 -9.7962310985574363E-01 a        60     0     3     1    16
 -4.3687374877975083E-01 a        61     0     3     1    17
  6.4441643383207681E-02 a        62     0     3     1    18
 -2.9050912658693440E-01 a        63     0     3     1    19
 -4.5482640381496381E-01 a        64     0     3     1    20
  9.6456809950614453E-01 a        65     0     3     1    21
 -5.6984443397091245E-01 a        66     0     3     1    22
  8.0122298732829139E-02 a        67     0     4     1     1
 -2.3197889743935918E-01 a        68     0     4     1     2
  2.1281113840849068E-02 a        69     0     4     1     3
  4.3044994582918500E-01 a        70     0     4     1     4
  1.5196052930650177E+00 a        71     0     4     1     5
  1.1161243492619322E-01 a        72     0     4     1     6
  9.2825380272071967E-01 a        73     0     4     1     7
 -5.4112639600170120E-01 a        74     0     4     1     8
 -8.5369868268108906E-01 a        75     0     4     1     9
  4.1550410756145650E-01 a        76     0     4     1    10
 -3.4717674189585067E-02 a        77     0     4     1    11
 -9.7439643278823229E-01 a        78     0     4     1    12
 -2.1706226393869925E+00 a        79     0     4     1    13
  1.1417223470557005E+00 a        80     0     4     1    14
 -7.8020122382546087E-01 a        81     0     4     1    15
  1.2416665769144781E+00 a        82     0     4     1    16
 -1.0509845759755010E+00 a        83     0     4     1    17
 -7.2331498084284895E-01 a        84     0     4     1    18
 -8.8049215918163071E-01 a        85     0     4     1    19
 -7.0817102360166118E-01 a        86     0     4     1    20
 -9.8584441404207013E-01 a        87     0     4     1    21
 -1.2033258038453301E-01 a        88     0     4     1    22
 -5.1283382673003730E-01 a        89     0     5     1     1
 -8.7418360711023135E-01 a        90     0     5     1     2
 -4.2621615304386928E-01 a        91     0     5     1     3
 -3.8577276238438252E-01 a        92     0     5     1     4
  6.3607479559823751E-02 a        93     0     5     1     5
  8.7814735367667685E-01 a        94     0     5     1     6
  6.6259199228183541E-01 a        95     0     5     1     7
 -4.4998254648059594E-01 a        96     0     5     1     8
 -9.7764709123781179E-01 a        97     0     5     1     9
 -4.4459069626197240E-01 a        98     0     5     1    10
 -4.0062807916363824E-01 a        99     0     5     1    11
 -7.9093843998993929E-01 a       100     0     5     1    12
  5.5877730419874337E-02 a       101     0     5     1    13
  1.8454296588221536E-01 a       102     0     5     1    14
 -6.5434908683139081E-01 a       103     0     5     1    15
  6.8298772438778632E-01 a       104     0     5     1    16
 -3.3731177148538843E-01 a       105     0     5     1    17
  7.0587075780330655E-01 a       106     0     5     1    18
  6.4518529772458574E-02 a       107     0     5     1    19
 -1.1190322491039721E+00 a       108     0     5     1    20
  7.5189206748450550E-03 a       109     0     5     1    21
  3.0902748378555171E-02 a       110     0     5     1    22
  3.1240839609077803E-01 a       111     0     6     1     1
 -8.9708101380549177E-01 a       112     0     6     1     2
 -2.1366287211355728E-01 a       113     0     6     1     3
  4.1857441929184519E-01 a       114     0     6     1     4
  1.5411366474195032E+00 a       115     0     6     1     5
  1.5392646511850783E-01 a       116     0     6     1     6
  1.8999645127694501E-01 a       117     0     6     1     7
  6.0314793659800836E-01 a       118     0     6     1     8
 -5.8371935800172359E-01 a       119     0     6     1     9
  5.1445268326389104E-01 a       120     0     6     1    10
  9.1905824443587691E-01 a       121     0     6     1    11
 -1.0383386757633113E+00 a       122     0     6     1    12
 -1.7412756793114814E+00 a       123     0     6     1    13
 -8.1345449738785336E-01 a       124     0     6     1    14
 -2.8321975283406109E-01 a       125     0     6     1    15
  2.0953230812132972E-01 a       126     0     6     1    16
  2.3565881714390760E-01 a       127     0     6     1    17
  5.1748967352095609E-01 a       128     0     6     1    18
 -5.3276827819403283E-01 a       129     0     6     1    19
 -7.6243258624240973E-01 a       130     0     6     1    20
  9.7839450433386155E-01 a       131     0     6     1    21
  8.0287228398619270E-01 a       132     0     6     1    22
 -4.5860665436928272E-01 a       133     0     7     1     1
 -8.9932253817211849E-01 a       134     0     7     1     2
  9.0597841202403828E-01 a       135     0     7     1     3
  3.2573764654627586E-02 a       136     0     7     1     4
 -5.8404697619345158E-01 a       137     0     7     1     5
  3.4321982801976852E-01 a       138     0     7     1     6
 -5.8502635210015785E-01 a       139     0     7     1     7
 -9.1995593037867951E-01 a       140     0     7     1     8
 -1.0150569536007503E+00 a       141     0     7     1     9
  4.5643348263329442E-01 a       142     0     7     1    10
  8.9171908794626176E-01 a       143     0     7     1    11
 -1.6224658729244159E+00 a       144     0     7     1    12
 -7.9954571794428886E-01 a       145     0     7     1    13
 -1.2868610129060043E-01 a       146     0     7     1    14
  1.9289230631762442E-02 a       147     0     7     1    15
 -4.2322525069419625E-01 a       148     0     7     1    16
 -3.3154228708690875E-01 a       149     0     7     1    17
 -5.5880120758655349E-01 a       150     0     7     1    18
 -1.2851014015340231E-01 a       151     0     7     1    19
 -5.4201778864964345E-01 a       152     0     7     1    20
 -8.3372623382026356E-01 a       153     0     7     1    21
  2.1879692800399475E-01 a       154     0     7     1    22
  4.9214323065753690E-01 a       155     0     8     1     1
  3.8992547039500236E-01 a       156     0     8     1     2
  1.0015794338590830E-01 a       157     0     8     1     3
 -1.0343587308824886E-01 a       158     0     8     1     4
 -1.3370658382941896E+00 a       159     0     8     1     5
 -8.0729193306406888E-01 a       160     0     8     1     6
 -9.8369450889896026E-01 a       161     0     8     1     7
  1.7236424584117044E-01 a       162     0     8     1     8
  9.4707436528495570E-01 a       163     0     8     1     9
  1.0586638406679683E+00 a       164     0     8     1    10
 -8.8689099231621396E-02 a       165     0     8     1    11
 -1.0793302311560811E+00 a       166     0     8     1    12
  1.4302980675668109E+00 a       167     0     8     1    13
  7.5318581075764246E-01 a       168     0     8     1    14
  1.6153787241740866E-01 a       169     0     8     1    15
  4.4823096747120511E-01 a       170     0     8     1    16
 -6.0654234588387390E-01 a       171     0     8     1    17
  1.7096055312685404E-02 a       172     0     8     1    18
  8.9361581995666428E-01 a       173     0     8     1    19
 -4.4921166109918481E-01 a       174     0     8     1    20
 -3.8406403512616212E-02 a       175     0     8     1    21
 -7.7889987354181667E-01 a       176     0     8     1    22
 -1.4643289574138360E-02 a       177     0     9     1     1
 -2.8083971874459462E-01 a       178     0     9     1     2
  9.1268266891220895E-01 a       179     0     9     1     3
 -4.3002228428496420E-01 a       180     0     9     1     4
 -1.7475644730564310E-01 a       181     0     9     1     5
 -1.2329506025123067E-02 a       182     0     9     1     6
  8.4728577216006951E-01 a       183     0     9     1     7
 -9.1852705527499148E-02 a       184     0     9     1     8
 -3.5356804860861379E-01 a       185     0     9     1     9
  1.1361852128288398E-01 a       186     0     9     1    10
  5.2700465257061013E-01 a       187     0     9     1    11
 -6.3812292752571631E-01 a       188     0     9     1    12
 -1.1133892326928629E+00 a       189     0     9     1    13
  4.1165960583350786E-01 a       190     0     9     1    14
 -1.5134357811729033E+00 a       191     0     9     1    15
 -1.8027133091202058E-01 a       192     0     9     1    16
 -6.0384338230350820E-01 a       193     0     9     1    17
  8.1313692231236678E-01 a       194     0     9     1    18
 -7.4759735651615544E-01 a       195     0     9     1    19
  2.7652400852035114E-01 a       196     0     9     1    20
  8.0521668394757473E-01 a       197     0     9     1    21
 -6.3428447563335688E-01 a       198     0     9     1    22
  3.3233603335336698E-01 a       199     0    10     1     1
